msno,payment_method_id,payment_plan_days,plan_list_price,actual_amount_paid,is_auto_renew,transaction_date,membership_expire_date,is_cancel
++nqzXpLn1fFKdCWEO5X5ufg5RJV9FgPMsKuHrnwk1I=,38,30,149,149,0,20150215,20150317,0
++nqzXpLn1fFKdCWEO5X5ufg5RJV9FgPMsKuHrnwk1I=,38,30,149,149,0,20150320,20150419,0
++nqzXpLn1fFKdCWEO5X5ufg5RJV9FgPMsKuHrnwk1I=,38,30,149,149,0,20150421,20150521,0
++nqzXpLn1fFKdCWEO5X5ufg5RJV9FgPMsKuHrnwk1I=,38,30,149,149,0,20150522,20150621,0
++nqzXpLn1fFKdCWEO5X5ufg5RJV9FgPMsKuHrnwk1I=,38,30,149,149,0,20150621,20150721,0
++nqzXpLn1fFKdCWEO5X5ufg5RJV9FgPMsKuHrnwk1I=,38,30,149,149,0,20150919,20151019,0
++s7jWRVn1x0cJXvWHeuZ9fscw4dOTGtSLJ1rptkTys=,38,30,149,149,0,20170104,20170205,0
++s7jWRVn1x0cJXvWHeuZ9fscw4dOTGtSLJ1rptkTys=,38,30,149,149,0,20170206,20170308,0
++s7jWRVn1x0cJXvWHeuZ9fscw4dOTGtSLJ1rptkTys=,38,30,149,149,0,20170310,20170409,0
+19pK2MbFfs5+S94XPEgMmE76cmHGFruBgguswLEA0I=,38,30,149,149,0,20160514,20160613,0
+19pK2MbFfs5+S94XPEgMmE76cmHGFruBgguswLEA0I=,38,30,149,149,0,20160614,20160714,0
+19pK2MbFfs5+S94XPEgMmE76cmHGFruBgguswLEA0I=,38,30,149,149,0,20160719,20160818,0
+19pK2MbFfs5+S94XPEgMmE76cmHGFruBgguswLEA0I=,38,30,149,149,0,20160823,20160922,0
+19pK2MbFfs5+S94XPEgMmE76cmHGFruBgguswLEA0I=,38,30,149,149,0,20160923,20161023,0
+19pK2MbFfs5+S94XPEgMmE76cmHGFruBgguswLEA0I=,38,30,149,149,0,20161024,20161123,0
+19pK2MbFfs5+S94XPEgMmE76cmHGFruBgguswLEA0I=,38,30,149,149,0,20161211,20170110,0
